timeslot,sourceIdentifier,programName,flags
27,WDPN,M*A*S*H \{9B} \{7C},none
28,WDPN,M*A*S*H \{9B} \{7C},none
29,WDPN,The Andy Griffith Show \{9B} \{7C},none
30,WDPN,The Andy Griffith Show \{9B} \{7C},none
31,WDPN,"Gomer Pyle, U.S.M.C. \{99} \{7C}",none
32,WDPN,Green Acres \{99} \{7C},none
33,WDPN,Hogan's Heroes \{99} \{7C},none
34,WDPN,Hogan's Heroes \{99} \{7C},none
35,WDPN,Carol Burnett and Friends \{99} \{7C},none
36,WDPN,Perry Mason \{9B} \{7C},none
38,WDPN,The Twilight Zone \{9B} \{91} \{7C},none
39,WDPN,Alfred Hitchcock Hour \{9B} \{7C},none
41,WDPN,Mannix \{9B} \{7C},none
43,WDPN,Cannon \{9B} \{7C},none
45,WDPN,Barnaby Jones \{99} \{91} \{7C},none
47,WDPN,Paid Programming \{99},none
48,WDPN,The Key To Healthy Living,none
27,KYW,Inside Edition \{9B} \{91} \{7C},none
28,KYW,Entertainment Tonight \{91} \{7C},none
29,KYW,Play On: Celebrating the Power of Music to Make Change \{9B} \{91} \{7C},none
31,KYW,NCIS \{91} \{7C},none
33,KYW,FBI \{91} \{7C},none
35,KYW,Eyewitness News at 11pm \{91} \{7C},none
36,KYW,(11:35) The Late Show With Stephen Colbert \{9B} \{91} \{7C},none
38,KYW,(12:37) The Late Late Show With James Corden \{91} \{7C},none
40,KYW,( 1:37) Comics Unleashed With Byron Allen \{9B} \{91} \{7C},none
41,KYW,( 2:07) Eyewitness News at 11pm \{91} \{7C},none
42,KYW,( 2:37) Relief from Inflammation,none
43,KYW,( 3:07) Paid Programming \{99},none
43,KYW,( 3:10) CBS Evening News With Norah O'Donnell \{91} \{7C},none
44,KYW,( 3:40) CBS Overnight News \{91} \{7C},none
45,KYW,CBS Morning News \{91} \{7C},none
46,KYW,Eyewitness News at 4:30am \{91} \{7C},none
47,KYW,Eyewitness News at 5am \{91} \{7C},none
27,WACPSD,MyPillow Topper,none
28,WACPSD,MyPillow Topper,none
29,WACPSD,Cher,none
30,WACPSD,Silver Peace Dollars,none
31,WACPSD,SNL: The Early Years,none
32,WACPSD,SNL: The Early Years,none
33,WACPSD,Union Baptist Temple,none
35,WACPSD,Dolly Parton!,none
36,WACPSD,Dolly Parton!,none
37,WACPSD,Never Rake Again!,none
38,WACPSD,Never Rake Again!,none
39,WACPSD,Liberty Safes,none
40,WACPSD,MyPillow Topper,none
41,WACPSD,Dolly Parton!,none
42,WACPSD,Dolly Parton!,none
43,WACPSD,Emeril Pasta Secret,none
44,WACPSD,Emeril Pasta Secret,none
45,WACPSD,MyPillow Topper,none
46,WACPSD,MyPillow Topper,none
47,WACPSD,5 Makeup Tips 4 You,none
48,WACPSD,5 Makeup Tips 4 You,none
27,USA,Law & Order: Special Victims Unit \{91} \{7C},none
29,USA,Law & Order: Special Victims Unit \{91} \{7C},none
31,USA,Law & Order: Special Victims Unit \{91} \{7C},none
33,USA,Law & Order: Special Victims Unit \{91} \{7C},none
35,USA,(11:01) Modern Family \{9B} \{91} \{7C},none
36,USA,(11:31) Modern Family \{9B} \{91} \{7C},none
37,USA,Modern Family \{9B} \{91} \{7C},none
38,USA,Modern Family \{9B} \{91} \{7C},none
39,USA,Modern Family \{9B} \{91} \{7C},none
40,USA,( 1:31) Modern Family \{9B} \{91} \{7C},none
41,USA,( 2:02) Law & Order: Special Victims Unit \{91} \{7C},none
43,USA,( 3:01) Law & Order: Special Victims Unit \{91} \{7C},none
45,USA,( 4:01) Dateline \{91} \{7C},none
47,USA,Dateline \{9B} \{91} \{7C},none
27,WPVI,Jeopardy! \{99} \{91} \{7C},none
28,WPVI,Wheel of Fortune \{99} \{91} \{7C},none
29,WPVI,The Bachelorette \{9B} \{91} \{7C},none
33,WPVI,(10:01) Big Sky \{91} \{7C},none
35,WPVI,Action News 11 PM \{91} \{7C},none
36,WPVI,(11:35) Jimmy Kimmel Live! \{91} \{7C},none
38,WPVI,(12:37) Nightline \{99} \{7C},none
39,WPVI,( 1:06) Live with Kelly and Ryan \{9B} \{91} \{7C},none
41,WPVI,( 2:06) ABC World News Tonight With David Muir \{7C},none
42,WPVI,( 2:36) Tamron Hall \{9B} \{91} \{7C},none
44,WPVI,( 3:36) America This Morning \{7C},none
45,WPVI,Action News 4:00 AM \{91} \{7C},none
46,WPVI,Action News 4:30 AM \{91} \{7C},none
47,WPVI,Action News 5:00 AM \{91} \{7C},none
48,WPVI,Action News 5:30 AM \{91} \{7C},none
27,ESPN,College Football Playoff: Top 25,none|sportsProg
29,ESPN,30 for 30,none|sportsProg
32,ESPN,30 for 30 \{7C},none|sportsProg
36,ESPN,SportsCenter With Scott Van Pelt,none|sportsProg
38,ESPN,SportsCenter \{7C},none|sportsProg
40,ESPN,SportsCenter \{7C},none|sportsProg
42,ESPN,SportsCenter \{7C},none|sportsProg
44,ESPN,SportsCenter \{7C},none|sportsProg
46,ESPN,SportsCenter \{7C},none|sportsProg
47,ESPN,SportsCenter \{7C},none|sportsProg
27,NBSPP,The Chef's Kitchen \{99},none
28,NBSPP,Rock Star Kitchen \{99},none
29,NBSPP,What's Brewing,none
30,NBSPP,In Depth With Graham Bensinger \{91} \{7C},none|sportsProg
31,NBSPP,Pure Outdoor,none|sportsProg
32,NBSPP,World Championship Kickboxing,none
34,NBSPP,Fight Sports MMA,none|sportsProg
36,NBSPP,The Short List,none|sportsProg
37,NBSPP,Paid Programming \{99},none
38,NBSPP,Paid Programming \{99},none
39,NBSPP,"Thicker, Fuller Hair Today!",none
45,NBSPP,NBA Basketball,none|sportsProg
27,WCAU,NBC 10 News at 7p \{7C},none
28,WCAU,Access Hollywood \{9B} \{91} \{7C},none
29,WCAU,The Voice \{9B} \{91} \{7C},none
31,WCAU,The Voice \{9B} \{91} \{7C},none
35,WCAU,NBC 10 News at 11p \{7C},none
36,WCAU,(11:34) The Tonight Show Starring Jimmy Fallon \{91} \{7C},none
38,WCAU,(12:36) Late Night With Seth Meyers \{91} \{7C},none
40,WCAU,( 1:36) A Little Late With Lilly Singh \{91} \{7C},none
41,WCAU,( 2:06) NBC Nightly News With Lester Holt \{91} \{7C},none
42,WCAU,( 2:35) The Kelly Clarkson Show \{99} \{91} \{7C},none
44,WCAU,Early Today \{99} \{7C},none
45,WCAU,NBC 10 News Today at 4:00a \{7C},none
46,WCAU,NBC 10 News Today at 4:30a \{7C},none
47,WCAU,NBC 10 News Today at 5:00a \{7C},none
48,WCAU,NBC 10 News Today at 5:30a \{7C},none
27,QVC,Comfort & Joy with Jane \{99} \{7C},none
31,QVC,Cheers! to Holiday Shopping With Leah and Shawn \{99} \{7C},none
37,QVC,The Wrap It Up Gift Event \{99} \{7C},none
39,QVC,The Wrap It Up Gift Event \{99} \{7C},none
43,QVC,Denim & Co. \{99} \{7C},none
45,QVC,Dyson Supersonic Hair Dryer \{99} \{7C},none
47,QVC,The Wrap It Up Gift Event \{99} \{7C},none
27,WHYY,BBC World News America \{91} \{7C},none
28,WHYY,The Power of We: A Sesame Street Special \{90} \{91} \{7C},none
29,WHYY,Ella Wishes You a Swinging Christmas With Vanessa Williams \{99} \{91} \{7C},none
31,WHYY,Christmas at Belmont \{99} \{91} \{7C},none
33,WHYY,Frontline \{91} \{7C},none
35,WHYY,The Great British Baking Show \{9B} \{91} \{7C},none
37,WHYY,Amanpour and Company \{91} \{7C},none
39,WHYY,The Brain Fitness Program \{99} \{91} \{7C},none
43,WHYY,3 Steps to Pain Free Living \{91} \{7C},none
46,WHYY,"The Longevity Paradox With Steven Gundry, MD \{99} \{91} \{7C}",none
27,WPSG,Family Feud \{9B} \{91} \{7C},none
28,WPSG,Family Feud \{9B} \{91} \{7C},none
29,WPSG,Swamp Thing \{A3} \{91} \{7C},none
31,WPSG,Tell Me a Story \{A3} \{91} \{7C},none
33,WPSG,Eyewitness News on the CW Philly \{91} \{7C},none
34,WPSG,Eyewitness News on the CW Philly \{91} \{7C},none
35,WPSG,Schitt's Creek \{91} \{7C},none
36,WPSG,2 Broke Girls \{91} \{7C},none
37,WPSG,Mike & Molly \{91} \{7C},none
38,WPSG,The King of Queens \{9B} \{91} \{7C},none
39,WPSG,2 Broke Girls \{91} \{7C},none
40,WPSG,Mike & Molly \{91} \{7C},none
41,WPSG,Family Guy \{91} \{7C},none
42,WPSG,Family Guy \{9B} \{91} \{7C},none
43,WPSG,Bob's Burgers \{91} \{7C},none
44,WPSG,Bob's Burgers \{9B} \{91} \{7C},none
45,WPSG,The Drew Barrymore Show \{99} \{91} \{7C},none
47,WPSG,Impractical Jokers,none
48,WPSG,Personal Injury Court \{91} \{7C},none
27,HSN,Colleen Lopez Gemstone Jewelry Gifts \{99} \{7C},none
29,HSN,Colleen Lopez Gemstone Jewelry Gifts \{99} \{7C},none
31,HSN,Shannon's CRAZY For Christmas Finale \{99} \{7C},none
33,HSN,Shannon's CRAZY For Christmas Finale \{99} \{7C},none
35,HSN,Shannon's CRAZY For Christmas Finale \{99} \{7C},none
37,HSN,KORRES Beauty Gifts \{99} \{7C},none
39,HSN,KORRES Beauty Gifts \{99} \{7C},none
41,HSN,KORRES Beauty Gifts \{99} \{7C},none
43,HSN,KORRES Beauty Gifts \{99} \{7C},none
45,HSN,KORRES Beauty Gifts \{99} \{7C},none
47,HSN,KORRES Beauty Gifts \{99} \{7C},none
27,WTXF,Dish Nation \{9B} \{91} \{7C},none
28,WTXF,TMZ \{9B} \{91} \{7C},none
29,WTXF,Cosmos: Possible Worlds \{91} \{7C},none
31,WTXF,NEXT \{91} \{7C},none
33,WTXF,Fox 29 News at 10 \{7C},none
35,WTXF,PA Lottery \{7C},none
35,WTXF,(11:02) Fox 29 News at 11 \{7C},none
36,WTXF,TMZ \{9B} \{91} \{7C},none
37,WTXF,Dish Nation \{9B} \{91} \{7C},none
38,WTXF,The ClassH-Room \{9B} \{7C},none
39,WTXF,The Simpsons \{9B} \{91} \{7C},none
40,WTXF,Relief from Inflammation,none
41,WTXF,Divorce Court \{9B} \{91} \{7C},none
42,WTXF,Divorce Court \{9B} \{91} \{7C},none
43,WTXF,Extra \{9B} \{91} \{7C},none
44,WTXF,Fox 29 News at 11 \{7C},none
45,WTXF,Good Day Philadelphia at 4AM \{7C},none
47,WTXF,Good Day Philadelphia at 5AM \{7C},none
27,ESPN2,College Basketball,none|sportsProg
31,ESPN2,Women's College Basketball,none|sportsProg
35,ESPN2,NFL Live \{7C},none|sportsProg
37,ESPN2,30 for 30,none|sportsProg
40,ESPN2,NBA: The Jump,none|sportsProg
42,ESPN2,College Football Playoff: Top 25,none|sportsProg
44,ESPN2,UFC Main Event,none|sportsProg
45,ESPN2,E60,none|sportsProg
46,ESPN2,30 for 30,none|sportsProg
27,WPHL,The Big Bang Theory \{9B} \{91} \{7C},none
28,WPHL,The Goldbergs \{9B} \{91} \{7C},none
29,WPHL,Modern Family \{9B} \{91} \{7C},none
30,WPHL,Mom \{91} \{7C},none
31,WPHL,The Goldbergs \{9B} \{91} \{7C},none
32,WPHL,Mom \{91} \{7C},none
33,WPHL,Action News at Ten on PHL17 \{7C},none
35,WPHL,Modern Family \{9B} \{91} \{7C},none
36,WPHL,Two and a Half Men \{91} \{7C},none
37,WPHL,Two and a Half Men \{91} \{7C},none
38,WPHL,Seinfeld \{9B} \{91} \{7C},none
39,WPHL,Seinfeld \{9B} \{91} \{7C},none
40,WPHL,Last Man Standing \{9B} \{91} \{7C},none
41,WPHL,Chicago P.D. \{91} \{7C},none
43,WPHL,Chicago P.D. \{91} \{7C},none
45,WPHL,DailyMailTV \{91} \{7C},none
46,WPHL,DailyMailTV \{91} \{7C},none
47,WPHL,PHL17 Morning News \{7C},none
48,WPHL,PHL17 Morning News \{7C},none
27,NBCSPA,Sixers Pregame Live \{7C},none|sportsProg
28,NBCSPA,NBA Basketball \{7C},none|sportsProg
33,NBCSPA,Sixers Postgame Live \{7C},none|sportsProg
35,NBCSPA,NHL Hockey \{7C},none|sportsProg
39,NBCSPA,NBA Basketball \{7C},none|sportsProg
43,NBCSPA,Paid Programming \{99} \{7C},none
44,NBCSPA,Cooking with Emeril \{7C},none
45,NBCSPA,Men's Health - All-Natural Secret for Prostate Health \{7C},none
46,NBCSPA,Paid Programming \{99} \{7C},none
47,NBCSPA,H2O Steam Fx Pro \{7C},none
48,NBCSPA,Men's Health - All-Natural Secret for Prostate Health \{7C},none
27,TBS,The Big Bang Theory \{9B} \{91} \{7C},none
28,TBS,The Big Bang Theory \{9B} \{91} \{7C},none
29,TBS,The Big Bang Theory \{9B} \{91} \{7C},none
30,TBS,The Big Bang Theory \{9B} \{91} \{7C},none
31,TBS,The Big Bang Theory \{9B} \{91} \{7C},none
32,TBS,The Big Bang Theory \{9B} \{91} \{7C},none
33,TBS,The Big Bang Theory \{9B} \{91} \{7C},none
34,TBS,The Misery Index \{7C},none
35,TBS,Conan \{7C},none
36,TBS,The Misery Index \{7C},none
37,TBS,The Misery Index \{7C},none
38,TBS,Conan \{7C},none
39,TBS,Brooklyn Nine-Nine \{91} \{7C},none
40,TBS,Brooklyn Nine-Nine \{91} \{7C},none
41,TBS,Brooklyn Nine-Nine \{91} \{7C},none
42,TBS,Brooklyn Nine-Nine \{91} \{7C},none
43,TBS,2 Broke Girls \{91} \{7C},none
44,TBS,2 Broke Girls \{91} \{7C},none
45,TBS,2 Broke Girls \{91} \{7C},none
46,TBS,2 Broke Girls \{91} \{7C},none
47,TBS,Family Matters \{99} \{91} \{7C},none
48,TBS,Family Matters \{99} \{91} \{7C},none
27,WMCNSD,Emeril Delivers 2 U,none
28,WMCNSD,Emeril Delivers 2 U,none
29,WMCNSD,SNL: The Early Years,none
30,WMCNSD,SNL: The Early Years,none
31,WMCNSD,Cooking with Emeril,none
32,WMCNSD,Promote Your Immune System with Vitamin D,none
33,WMCNSD,Throw away your makeup and discover Hollywood's fountain of youth!,none
34,WMCNSD,Emeril's Pasta & Beyond!,none
35,WMCNSD,Paid Programming \{99},none
36,WMCNSD,Paid Programming \{99},none
37,WMCNSD,"Smile Healthy Philadelphia, With ClearChoice Dental Implant Centers",none
38,WMCNSD,"Blast Grime Away: Patio, Deck + More",none
39,WMCNSD,Emeril's Pasta & Beyond!,none
40,WMCNSD,Holiday Home Cooked Feast!,none
41,WMCNSD,Throw away your makeup and discover Hollywood's fountain of youth!,none
42,WMCNSD,Hempvana Gold Pain Relief Cream,none
43,WMCNSD,Slim Cycle,none
44,WMCNSD,Cooking with Emeril,none
45,WMCNSD,Larry King Special Report,none
46,WMCNSD,Throw away your makeup and discover Hollywood's fountain of youth!,none
47,WMCNSD,Shepherd's Chapel \{99} \{91} \{7C},none
27,COMEDY,( 7:25) The Office \{91} \{7C},none
29,COMEDY,The Office \{91} \{7C},none
30,COMEDY,The Office \{91} \{7C},none
31,COMEDY,Drunk History \{7C},none
32,COMEDY,Drunk History \{7C},none
33,COMEDY,Drunk History \{7C},none
34,COMEDY,Drunk History \{7C},none
35,COMEDY,The Daily Show With Trevor Noah \{7C},none
36,COMEDY,(11:46) South Park \{A3} \{7C},none
37,COMEDY,(12:15) South Park \{A3} \{7C},none
38,COMEDY,(12:45) South Park \{A3} \{7C},none
39,COMEDY,( 1:14) The Daily Show With Trevor Noah \{7C},none
41,COMEDY,South Park \{A3} \{7C},none
42,COMEDY,South Park \{A3} \{7C},none
43,COMEDY,South Park \{A3} \{7C},none
44,COMEDY,South Park \{A3} \{7C},none
45,COMEDY,South Park \{A3} \{7C},none
46,COMEDY,South Park \{A3} \{7C},none
47,COMEDY,Sex Toys - 50 Percent OFF! \{7C},none
48,COMEDY,Larry King Exclusive: Is Your Credit In Crisis? \{7C},none
27,WNJN,One on One With Steve Adubato,none
28,WNJN,NJ Spotlight News with Briana Vannozzi \{91} \{7C},none
29,WNJN,Father Brown \{9B} \{91} \{7C},none
31,WNJN,The Durrells in Corfu on Masterpiece \{91} \{7C},none
33,WNJN,Line of Separation \{91} \{7C},none
35,WNJN,NJ Spotlight News with Briana Vannozzi \{91} \{7C},none
36,WNJN,Drive by History,none
37,WNJN,BBC World News \{91} \{7C},none
38,WNJN,MetroFocus \{91} \{7C},none
39,WNJN,Amanpour and Company \{91} \{7C},none
41,WNJN,Nature \{99} \{91} \{7C},none
44,WNJN,Ken Burns: The National Parks \{99} \{91} \{7C},none
47,WNJN,Articulate With Jim Cotter \{9B} \{91} \{7C},none
48,WNJN,The McLaughlin Group \{91} \{7C},none
27,CNN,Erin Burnett OutFront \{7C},none
29,CNN,Anderson Cooper 360 \{9B} \{7C},none
31,CNN,Cuomo Prime Time \{7C},none
33,CNN,CNN Tonight with Don Lemon \{7C},none
35,CNN,CNN Tonight with Don Lemon \{7C},none
37,CNN,Anderson Cooper 360 \{9B} \{7C},none
39,CNN,Cuomo Prime Time \{7C},none
41,CNN,CNN Tonight with Don Lemon \{7C},none
43,CNN,CNN Tonight with Don Lemon \{7C},none
45,CNN,CNN Newsroom Live \{7C},none
47,CNN,Early Start With Christine Romans and Laura Jarrett \{7C},none
48,CNN,( 5:59) New Day With Alisyn Camerota and John Berman \{7C},none
29,LIFE,"""Christmas Pen Pals"" \{9B} (2018) Sarah Drew, Niall Matter. Following an unexpected breakup weeks before Christmas, a tech wiz heads back to her hometown for the holidays. She signs up for an anonymous holiday pen pal service and becomes enchanted by each beautifully written letter she receives. \{7C} (1 hr 30 min)",movie
33,LIFE,"(10:03) ""A Taste of Christmas"" (2020) Anni Krueger, Gilles Marini. Upon learning her cousin Francesca must cancel the Christmas Eve opening of her Italian restaurant, Natalie becomes determined to help make the opening day a reality. \{7C} (1 hr 30 min)",movie
37,LIFE,"(12:01) ""Christmas Pen Pals"" \{9B} (2018) Sarah Drew, Niall Matter. Following an unexpected breakup weeks before Christmas, a tech wiz heads back to her hometown for the holidays. She signs up for an anonymous holiday pen pal service and becomes enchanted by each beautifully written letter she receives. \{7C} (1 hr 30 min)",movie
41,LIFE,"( 2:04) ""A Taste of Christmas"" (2020) Anni Krueger, Gilles Marini. Upon learning her cousin Francesca must cancel the Christmas Eve opening of her Italian restaurant, Natalie becomes determined to help make the opening day a reality. \{7C} (1 hr 30 min)",movie
45,LIFE,( 4:02) 5 Makeup Tips 4 You \{7C},none
46,LIFE,( 4:32) Experience Hollywood's Red Carpet Secret for a Flawless Looking Body! \{7C},none
47,LIFE,( 5:02) Got Debt? \{7C},none
48,LIFE,( 5:32) Marie Osmond's BodyGym \{7C},none
27,AETV,Storage Wars \{9B} \{91} \{7C},none
28,AETV,Storage Wars \{9B} \{91} \{7C},none
29,AETV,Storage Wars \{9B} \{91} \{7C},none
30,AETV,Storage Wars \{9B} \{91} \{7C},none
31,AETV,Storage Wars \{9B} \{91} \{7C},none
32,AETV,Storage Wars \{9B} \{91} \{7C},none
33,AETV,(10:01) Storage Wars \{9B} \{91} \{7C},none
34,AETV,(10:32) Storage Wars \{9B} \{91} \{7C},none
35,AETV,(11:04) Storage Wars \{9B} \{91} \{7C},none
36,AETV,(11:34) Storage Wars \{9B} \{91} \{7C},none
37,AETV,(12:03) Storage Wars \{9B} \{91} \{7C},none
38,AETV,(12:33) Storage Wars \{9B} \{91} \{7C},none
39,AETV,( 1:03) Storage Wars \{9B} \{91} \{7C},none
40,AETV,( 1:33) Storage Wars \{9B} \{91} \{7C},none
41,AETV,( 2:04) Storage Wars \{9B} \{91} \{7C},none
42,AETV,( 2:34) Storage Wars \{9B} \{91} \{7C},none
43,AETV,( 3:05) Storage Wars \{9B} \{91} \{7C},none
44,AETV,( 3:34) Storage Wars \{9B} \{91} \{7C},none
45,AETV,( 4:02) Introducing Crepe Erase Advanced Formula! \{91} \{7C},none
46,AETV,( 4:32) Try the New NuWave Brio Air Fryer Today! Great New Price! \{91} \{7C},none
47,AETV,( 5:02) BACK PAIN RELIEF NOW! \{91} \{7C},none
48,AETV,( 5:31) Paid Programming \{99} \{91} \{7C},none
31,NIK,Young Sheldon \{9B} \{91} \{7C},none
32,NIK,Young Sheldon \{9B} \{91} \{7C},none
33,NIK,Friends \{9B} \{91} \{7C},none
34,NIK,Friends \{9B} \{91} \{7C},none
35,NIK,Friends \{9B} \{91} \{7C},none
36,NIK,Friends \{9B} \{91} \{7C},none
37,NIK,Friends \{9B} \{91} \{7C},none
38,NIK,Friends \{9B} \{91} \{7C},none
39,NIK,Friends \{91} \{7C},none
40,NIK,( 1:35) Friends \{9B} \{91} \{7C},none
41,NIK,( 2:09) Friends \{91} \{7C},none
42,NIK,( 2:44) Young Sheldon \{9B} \{91} \{7C},none
43,NIK,( 3:18) Mom \{91} \{7C},none
44,NIK,( 3:50) Mom \{91} \{7C},none
45,NIK,( 4:24) Mom \{91} \{7C},none
46,NIK,( 4:55) Mom \{91} \{7C},none
47,NIK,( 5:27) Full House \{99} \{91} \{7C},none
27,DISN,Raven's Home \{99} \{91} \{7C},none
28,DISN,Raven's Home \{99} \{91} \{7C},none
29,DISN,Good Luck Jessie: NYC Christmas \{99} \{91} \{7C},none
31,DISN,Bunk'd \{99} \{91} \{7C},none
32,DISN,Raven's Home \{99} \{91} \{7C},none
33,DISN,Raven's Home \{99} \{91} \{7C},none
34,DISN,Raven's Home \{99} \{91} \{7C},none
35,DISN,Sydney to the Max \{99} \{91} \{7C},none
36,DISN,Sydney to the Max \{99} \{91} \{7C},none
37,DISN,Jessie \{99} \{91} \{7C},none
38,DISN,Jessie \{99} \{91} \{7C},none
39,DISN,Bunk'd \{99} \{91} \{7C},none
40,DISN,Raven's Home \{99} \{91} \{7C},none
41,DISN,Raven's Home \{99} \{91} \{7C},none
42,DISN,Liv and Maddie: Cali Style \{99} \{91} \{7C},none
43,DISN,Liv and Maddie: Cali Style \{99} \{91} \{7C},none
44,DISN,Austin & Ally \{99} \{91} \{7C},none
45,DISN,Austin & Ally \{99} \{91} \{7C},none
46,DISN,Bunk'd \{99} \{91} \{7C},none
47,DISN,Big City Greens \{93} \{91} \{7C},none
48,DISN,Miraculous: Tales of Ladybug and Cat Noir \{93} \{91} \{7C},none
27,PAR,"""Shooter"" \{84} (2007) Mark Wahlberg, Michael Peña. A top Marine sniper, Bob Lee Swagger (Mark Wahlberg), leaves the military after a mission goes horribly awry and disappears without a trace. Swagger is coaxed back into service after high-profile government officials convince him to help thwart a plot against the President of the United States. Swagger realizes he has been betrayed and becomes the target of a nationwide manhunt. Instead of hiding, he seeks revenge against some of the most powerful and corrupt leaders in the free world. \{91} \{7C} (2 hr 6 min)",movie
33,PAR,"""Four Brothers"" \{84} (2005) Mark Wahlberg, Tyrese Gibson. When an inner-city Detroit foster mother (Fionnula Flanagan) is murdered in a botched holdup, four of her now-grown adopted children suspect it was no random killing. Rising musician Jack (Garrett Hedlund), former-Marine Angel (Tyrese Gibson), hotheaded hockey player Bobby (Mark Wahlberg) and settled-down husband and father Jeremiah (André Benjamin) go on the hunt for neighborhood criminal kingpin Victor Sweet (Chiwetel Ejiofor) while being trailed themselves by the local beat cops. \{91} \{7C} (1 hr 48 min)",movie
38,PAR,"""Shooter"" \{84} (2007) Mark Wahlberg, Michael Peña. A top Marine sniper, Bob Lee Swagger (Mark Wahlberg), leaves the military after a mission goes horribly awry and disappears without a trace. Swagger is coaxed back into service after high-profile government officials convince him to help thwart a plot against the President of the United States. Swagger realizes he has been betrayed and becomes the target of a nationwide manhunt. Instead of hiding, he seeks revenge against some of the most powerful and corrupt leaders in the free world. \{91} \{7C} (2 hr 6 min)",movie
44,PAR,The Office \{9B} \{91} \{7C},none
45,PAR,Sex Toys - 50 Percent OFF! \{91} \{7C},none
46,PAR,Sex Toys - 50 Percent OFF! \{91} \{7C},none
47,PAR,Sex Toys - 50 Percent OFF! \{91} \{7C},none
48,PAR,Ideal Prostate+ Provides Safe Natural Relief \{91} \{7C},none
28,E,"( 7:45) ""Fast & Furious"" \{87} (2009) Vin Diesel, Paul Walker. When a crime brings them back to the mean streets of Los Angeles, fugitive ex-convict Dom Toretto (Vin Diesel) and agent Brian O'Conner (Paul Walker) reignite their high-octane feud. However, when a common enemy rears his head, Dom and Brian must learn how to work together and trust one another in order to defeat him. \{7C} (1 hr 47 min)",movie
33,E,Celebrity Game Face \{9B} \{7C},none
35,E,Nightly Pop \{7C},none
36,E,"""Speed"" \{84} (1994) Keanu Reeves, Dennis Hopper. Los Angeles police officer Jack (Keanu Reeves) angers retired bomb squad member Howard Payne (Dennis Hopper) by foiling his attempt at taking hostages. In revenge, Payne arms a bus with a bomb that will explode if it drops below 50 miles per hour. With the help of spunky passenger Annie (Sandra Bullock), Jack and his partner Harry (Jeff Daniels) try to save the people on the bus before the bomb goes off, while also trying to figure out how Payne is monitoring them. \{7C} (1 hr 55 min)",movie
41,E,Sex and the City \{A3} \{91} \{7C},none
42,E,Sex and the City \{A3} \{91} \{7C},none
43,E,Sex and the City \{A3} \{91} \{7C},none
44,E,Sex and the City \{A3} \{91} \{7C},none
45,E,Keeping Up With the Kardashians \{7C},none
47,E,Keeping Up With the Kardashians \{7C},none
29,FREEFR,"( 8:25) ""Disney's A Christmas Carol"" \{85} (2009) Jim Carrey, Robin Wright Penn. Though London awaits the joyful arrival of Christmas, miserly Ebenezer Scrooge (Jim Carrey) thinks it's all humbug, berating his faithful clerk and cheerful nephew for their view. Later, Scrooge encounters the ghost of his late business partner, who warns that three spirits will visit him this night. The ghosts take Scrooge on a journey through his past, present and future in the hope of transforming his bitterness. \{91} \{7C} (1 hr 35 min)",movie
34,FREEFR,Prep & Landing: Naughty vs. Nice \{99} \{91} \{7C},none
35,FREEFR,The 700 Club \{91} \{7C},none
37,FREEFR,"""Jingle All the Way 2"" \{85} (2014) Larry the Cable Guy, Anthony Carelli. A child's father and stepfather engage in an all-out battle to get her the toy of her dreams for Christmas. \{91} \{7C} (1 hr 33 min)",movie
41,FREEFR,Paid Programming \{99} \{7C},none
42,FREEFR,NuWave Bravo XL Smart Countertop Air Fryer Convection Oven \{7C},none
