timeslot,sourceIdentifier,programName,flags
43,FREEFR,The 700 Club \{91} \{7C},none
45,FREEFR,Paid Programming \{99} \{7C},none
46,FREEFR,Paid Programming \{99} \{7C},none
47,FREEFR,OxyPure Air Purifier Kills 99.5% of Airborne Viruses & Bacteria \{7C},none
48,FREEFR,Paid Programming \{99} \{7C},none
27,WLVT,Counter Culture with Grover Silcox,none
28,WLVT,More Than Money,none
29,WLVT,Real Rail Adventures: Swiss Winter Magic \{99} \{91} \{7C},none
31,WLVT,Real Rail Adventures: Swiss International Hubs \{99} \{91} \{7C},none
33,WLVT,Real Rail Adventures: Swiss Grand Tour \{99} \{91} \{7C},none
35,WLVT,PBS39 Nightly News \{91} \{7C},none
36,WLVT,BBC World News \{91} \{7C},none
37,WLVT,NOVA \{99} \{91} \{7C},none
39,WLVT,Counter Culture with Grover Silcox,none
40,WLVT,More Than Money,none
41,WLVT,Real Rail Adventures: Swiss Winter Magic \{99} \{91} \{7C},none
43,WLVT,Real Rail Adventures: Swiss International Hubs \{99} \{91} \{7C},none
45,WLVT,Real Rail Adventures: Swiss Grand Tour \{99} \{91} \{7C},none
47,WLVT,Rick Steves' Europe \{99} \{91} \{7C},none
48,WLVT,Clifford the Big Red Dog \{90} \{91} \{7C},none
27,BET,"""Beauty Shop"" \{87} (2005) Queen Latifah, Alicia Silverstone. Far from Chicago, hairdresser Gina Norris (Queen Latifah) has relocated to Atlanta with her daughter (Paige Hurd) and has quickly established herself as a rare talent in her profession. But after repeatedly butting heads with her shady, over-the-top boss, Jorge (Kevin Bacon), Norris sets out to create her own salon -- even snagging a few of Jorge's employees and clients, including Lynn (Alicia Silverstone) and Terri (Andie MacDowell), respectively. Now, Jorge will do anything to shut her down. \{7C} (1 hr 45 min)",movie
31,BET,"""Welcome Home Roscoe Jenkins"" \{87} (2008) Martin Lawrence, James Earl Jones. As a child, RJ Stevens (Martin Lawrence) was the awkward brunt of numerous jokes. Now, RJ is a successful talk-show host who dispenses advice and encouragement to millions. When his parents ask him to come back home for their anniversary, RJ vows to show everyone how much he has changed. Unfortunately, RJ's plans are no match for his Southern relatives. \{7C} (1 hr 54 min)",movie
36,BET,Martin \{9B} \{91} \{7C},none
37,BET,Martin \{9B} \{91} \{7C},none
38,BET,Martin \{9B} \{91} \{7C},none
39,BET,The Cleveland Show \{91} \{7C},none
40,BET,The Cleveland Show \{91} \{7C},none
41,BET,Martin \{9B} \{91} \{7C},none
42,BET,Martin \{9B} \{91} \{7C},none
43,BET,The Fresh Prince of Bel-Air \{9B} \{91} \{7C},none
44,BET,The Fresh Prince of Bel-Air \{9B} \{91} \{7C},none
45,BET,The Parkers \{9B} \{91} \{7C},none
46,BET,The Parkers \{9B} \{91} \{7C},none
47,BET,The Parkers \{9B} \{91} \{7C},none
48,BET,The Parkers \{9B} \{91} \{7C},none
28,TNT,NBA Basketball \{7C},none|sportsProg
33,TNT,NBA Basketball \{7C},none|sportsProg
38,TNT,"""Eagle Eye"" \{87} (2008) Shia LaBeouf, Michelle Monaghan. Jerry Shaw (Shia LaBeouf) and Rachel Holloman (Michelle Monaghan) are two strangers whose lives are suddenly thrown into turmoil by a mysterious woman they have never met. Threatening their lives and family, the unseen caller uses everyday technology to control their actions and push them into increasing danger. As events escalate, Jerry and Rachel become the country's most-wanted fugitives and must figure out what is happening to them. \{7C} (1 hr 58 min)",movie
43,TNT,NCIS: New Orleans \{91} \{7C},none
45,TNT,NCIS: New Orleans \{91} \{7C},none
47,TNT,NCIS: New Orleans \{91} \{7C},none
29,FX,"""Baywatch"" \{84} (2017) Dwayne Johnson, Zac Efron. When a dangerous crime wave hits the beach, the legendary Mitch Buchannon leads his elite squad of lifeguards on a mission to prove that you don't have to wear a badge to save the bay. Joined by a trio of hotshot recruits, including former Olympian Matt Brody, they ditch the surf and go deep under cover to take down a ruthless businesswoman whose devious plans threaten the future of the bay. \{91} \{7C} (1 hr 56 min)",movie
34,FX,"""Baywatch"" \{84} (2017) Dwayne Johnson, Zac Efron. When a dangerous crime wave hits the beach, the legendary Mitch Buchannon leads his elite squad of lifeguards on a mission to prove that you don't have to wear a badge to save the bay. Joined by a trio of hotshot recruits, including former Olympian Matt Brody, they ditch the surf and go deep under cover to take down a ruthless businesswoman whose devious plans threaten the future of the bay. \{91} \{7C} (1 hr 56 min)",movie
39,FX,Mike & Molly \{91} \{7C},none
40,FX,Mike & Molly \{91} \{7C},none
41,FX,Mike & Molly \{91} \{7C},none
42,FX,Mike & Molly \{91} \{7C},none
43,FX,"Earth Wind and Fire, O'Jays, Commodores \{91} \{7C}",none
44,FX,"Total Gym; the most effective way to stay your best, without leaving home! \{91} \{7C}",none
45,FX,PiYo Workout! \{91} \{7C},none
46,FX,Oxygen Therapy Innovation \{91} \{7C},none
47,FX,The Best Kept Secret To Air Fryer Cooking \{91} \{7C},none
48,FX,Inogen Portable Oxygen - No More Tanks! \{91} \{7C},none
27,HLN,Death Row Stories \{7C},none
29,HLN,Death Row Stories \{7C},none
31,HLN,Forensic Files \{9B} \{7C},none
32,HLN,Forensic Files \{9B} \{7C},none
33,HLN,Forensic Files \{9B} \{7C},none
34,HLN,Forensic Files \{9B} \{7C},none
35,HLN,Forensic Files \{9B} \{7C},none
36,HLN,Forensic Files \{9B} \{7C},none
37,HLN,Real Life Nightmare \{7C},none
39,HLN,Forensic Files \{9B} \{7C},none
40,HLN,Forensic Files \{9B} \{7C},none
41,HLN,Forensic Files \{9B} \{7C},none
42,HLN,Forensic Files \{9B} \{7C},none
43,HLN,Forensic Files \{9B} \{7C},none
44,HLN,Forensic Files \{9B} \{7C},none
45,HLN,Forensic Files \{9B} \{7C},none
46,HLN,Forensic Files \{9B} \{7C},none
47,HLN,Forensic Files \{9B} \{7C},none
48,HLN,Forensic Files \{9B} \{7C},none
27,CNBC,The News With Shepard Smith \{7C},none
29,CNBC,Shark Tank \{9B} \{91} \{7C},none
31,CNBC,Shark Tank \{9B} \{91} \{7C},none
32,CNBC,( 9:58) The Profit \{9B} \{7C},none
33,CNBC,(10:04) Shark Tank \{9B} \{91} \{7C},none
35,CNBC,(11:02) Shark Tank \{9B} \{91} \{7C},none
37,CNBC,The News With Shepard Smith \{7C},none
39,CNBC,The Profit \{9B} \{7C},none
41,CNBC,Dateline \{9B} \{91} \{7C},none
43,CNBC,Dateline \{9B} \{91} \{7C},none
45,CNBC,The News With Shepard Smith \{7C},none
47,CNBC,Worldwide Exchange \{7C},none
27,TBN,The Christmas Experience \{9B} \{7C},none
28,TBN,The Potter's Touch \{99} \{7C},none
29,TBN,This Is How We Celebrate With Javen \{99} \{7C},none
31,TBN,Joyce Meyer Enjoying Everyday Life \{99} \{91} \{7C},none
32,TBN,Living Proof With Beth Moore \{99} \{7C},none
33,TBN,Better Together \{99} \{7C},none
34,TBN,Christine Caine \{99} \{7C},none
35,TBN,Javen Christmas Special \{99} \{7C},none
37,TBN,Joseph Prince \{91} \{7C},none
38,TBN,Michael Youssef \{99} \{7C},none
39,TBN,Sekulow \{9B} \{7C},none
40,TBN,Christine Caine \{99} \{7C},none
41,TBN,Jewish Voice with Jonathan Bernis \{99} \{7C},none
42,TBN,Jordan Rubin: CBD Powder \{99} \{7C},none
43,TBN,Because of Bethlehem \{99} \{7C},none
45,TBN,Christine Caine \{99} \{7C},none
46,TBN,Access 360 \{99} \{7C},none
47,TBN,Jordan Rubin: Multi Collagen Protein \{99} \{7C},none
48,TBN,Steven Furtick \{99} \{7C},none
31,CSPAN,Politics and Public Policy Today \{7C},none
33,CSPAN,Hearing on COVID-19 Impact on Live Event Entertainment Industry \{7C},none
37,CSPAN,Politics and Public Policy Today \{7C},none
43,CSPAN,Hearing on COVID-19 Impact on Live Event Entertainment Industry \{7C},none
47,CSPAN,Public Affairs Events \{91} \{7C},none
33,EDAC00,Educational Access,none
41,EDAC00,Educational Access,none
27,WBPH,Gaither Homecoming \{99} \{7C},none
29,WBPH,Stand in the Gap,none
30,WBPH,Face the Issues,none
31,WBPH,Your Health With Dr. Richard & Cindy Becker \{99},none
33,WBPH,Today's News & Biblical Views,none
34,WBPH,CBN Newswatch,none
35,WBPH,Song & Scripture,none
37,WBPH,Song & Scripture,none
39,WBPH,Song & Scripture,none
41,WBPH,Song & Scripture,none
43,WBPH,Song & Scripture,none
45,WBPH,Song & Scripture,none
47,WBPH,Song & Scripture,none
48,WBPH,WatchWord,none
33,EDAC02,Educational Access,none
41,EDAC02,Educational Access,none
27,CCPTV3,Tapestry of Life,none
29,CCPTV3,Tapestry of Life,none
31,CCPTV3,Strange College,none
32,CCPTV3,Strange College,none
33,CCPTV3,Drop the Mic,none
35,CCPTV3,Drop the Mic,none
37,CCPTV3,Car Corner,none
39,CCPTV3,Focal Point,none
39,CCPTV3,( 1:21) CCPTV53,none
41,CCPTV3,Tapestry of Life,none
45,CCPTV3,Philadelphia Cultural For,none
48,CCPTV3,Fox Rothschild Center for,none
33,DUTV54,Educational Television From Drexel University,none
41,DUTV54,Educational Television From Drexel University,none
33,LSUNIT,LaSalle University TV,none
41,LSUNIT,LaSalle University TV,none
27,APL,Walking The Nile \{91} \{7C},none
29,APL,Walking with Elephants \{9B} \{91} \{7C},none
31,APL,Walking with Elephants \{9B} \{91} \{7C},none
33,APL,Walking with Elephants \{9B} \{91} \{7C},none
35,APL,Lone Star Law \{91} \{7C},none
37,APL,Walking with Elephants \{9B} \{91} \{7C},none
39,APL,Walking with Elephants \{9B} \{91} \{7C},none
41,APL,Walking with Elephants \{9B} \{91} \{7C},none
43,APL,Lone Star Law \{91} \{7C},none
45,APL,Lone Star Law \{91} \{7C},none
47,APL,Lone Star Law \{91} \{7C},none
27,OXYGEN,Unsolved Mysteries \{9B} \{7C},none
29,OXYGEN,Unsolved Mysteries \{9B} \{7C},none
31,OXYGEN,Unsolved Mysteries \{9B} \{7C},none
33,OXYGEN,Unsolved Mysteries \{9B} \{7C},none
35,OXYGEN,Unsolved Mysteries \{9B} \{7C},none
37,OXYGEN,Unsolved Mysteries \{9B} \{7C},none
39,OXYGEN,Unsolved Mysteries \{9B} \{7C},none
41,OXYGEN,Dateline: Secrets Uncovered \{9B} \{7C},none
43,OXYGEN,Dateline: Secrets Uncovered \{9B} \{7C},none
45,OXYGEN,Dateline: Secrets Uncovered \{9B} \{7C},none
47,OXYGEN,Dateline: Secrets Uncovered \{9B} \{7C},none
27,WFMZ,Judge Judy \{9B} \{91} \{7C},none
28,WFMZ,Judge Judy \{9B} \{91} \{7C},none
29,WFMZ,The Doctors \{9B} \{91} \{7C},none
31,WFMZ,69 News Election Central,none
35,WFMZ,69 News: Edicion en Espanol \{7C},none
36,WFMZ,Hempvana Gold Pain Relief Cream,none
37,WFMZ,Remove THE VIRUS from Your Home!,none
38,WFMZ,"Smile Healthy Philadelphia, With ClearChoice Dental Implant Centers",none
39,WFMZ,The First 48 \{9B} \{7C},none
41,WFMZ,The First 48 \{7C},none
43,WFMZ,Forensic Files \{9B} \{91} \{7C},none
44,WFMZ,Justice for All With Judge Cristina Pérez \{9B} \{91} \{7C},none
45,WFMZ,Pawn Stars \{9B} \{7C},none
46,WFMZ,Pawn Stars \{9B} \{7C},none
47,WFMZ,69 News at Sunrise - 5:00am \{7C},none
48,WFMZ,69 News at Sunrise - 5:30am \{7C},none
31,SYFY,"""The Goonies"" \{85} (1985) Sean Astin, Josh Brolin. When two brothers find out they might lose their house they are desperate to find a way to keep their home. They find a treasure map and bring some friends along to find it. They are all out looking for the ""X"" and trying to get away from a group of bad guys who also want the treasure. \{7C} (1 hr 51 min)",movie
36,SYFY,(11:33) Futurama \{9B} \{91} \{7C},none
37,SYFY,(12:04) Futurama \{9B} \{91} \{7C},none
38,SYFY,(12:35) Futurama \{9B} \{91} \{7C},none
39,SYFY,( 1:05) Futurama \{9B} \{91} \{7C},none
40,SYFY,( 1:36) Futurama \{9B} \{91} \{7C},none
41,SYFY,"( 2:07) ""Space Jam"" \{85} (1996) Michael Jordan, Wayne Knight. Swackhammer (Danny DeVito), an evil alien theme park owner, needs a new attraction at Moron Mountain. When his gang, the Nerdlucks, heads to Earth to kidnap Bugs Bunny (Billy West) and the Looney Tunes, Bugs challenges them to a basketball game to determine their fate. The aliens agree, but they steal the powers of NBA basketball players, including Larry Bird (Larry Bird) and Charles Barkley (Charles Barkley) -- so Bugs gets some help from superstar Michael Jordan (Michael Jordan). \{7C} (1 hr 27 min)",movie
45,SYFY,"""A Nightmare on Elm Street 4: The Dream Master"" \{84} (1988) Robert Englund, Lisa Wilcox. Grotesque Freddy Krueger (Robert Englund) gives some more suburban teenagers something to dream about. \{7C} (1 hr 33 min)",movie
27,WPPX,Criminal Minds \{91} \{7C},none
29,WPPX,Criminal Minds \{91} \{7C},none
31,WPPX,Criminal Minds \{91} \{7C},none
33,WPPX,Criminal Minds \{91} \{7C},none
35,WPPX,Criminal Minds \{91} \{7C},none
37,WPPX,Criminal Minds \{91} \{7C},none
39,WPPX,Law & Order \{91} \{7C},none
41,WPPX,Law & Order \{91} \{7C},none
43,WPPX,"Achieve flawless, airbrushed, porcelain perfection with Luminess Air! \{91} \{7C}",none
44,WPPX,Paid Programming \{99} \{91} \{7C},none
45,WPPX,Dr. Ho's Total Body Relief \{91} \{7C},none
46,WPPX,U-Box by U-Haul Containers for Moving & Storage \{91} \{7C},none
47,WPPX,Oxygen Therapy Innovation \{91} \{7C},none
48,WPPX,Latest cyberthreat is stealing your home equity. Protect Your Home! \{91} \{7C},none
33,GOAC03,Government Access,none
41,GOAC03,Government Access,none
33,GOAC04,Government Access,none
41,GOAC04,Government Access,none
33,PUAC06,Public Access,none
41,PUAC06,Public Access,none
27,MTV,Deliciousness \{91} \{7C},none
28,MTV,Deliciousness \{91} \{7C},none
29,MTV,Teen Mom 2 \{91} \{7C},none
31,MTV,Catfish: The TV Show \{91} \{7C},none
33,MTV,Deliciousness \{91} \{7C},none
34,MTV,Deliciousness \{91} \{7C},none
35,MTV,Ridiculousness \{91} \{7C},none
36,MTV,Ridiculousness \{91} \{7C},none
37,MTV,Ridiculousness \{91} \{7C},none
38,MTV,Ridiculousness \{91} \{7C},none
39,MTV,Ridiculousness \{91} \{7C},none
40,MTV,Ridiculousness \{91} \{7C},none
41,MTV,Ridiculousness \{91} \{7C},none
42,MTV,Ridiculousness \{91} \{7C},none
43,MTV,Ridiculousness \{91} \{7C},none
44,MTV,Ridiculousness \{91} \{7C},none
45,MTV,Ridiculousness \{91} \{7C},none
46,MTV,Ridiculousness \{91} \{7C},none
47,MTV,Ridiculousness \{91} \{7C},none
48,MTV,Ridiculousness \{91} \{7C},none
29,TCM,"""The Battle of the Century"" (1927) Stan Laurel, Oliver Hardy. A manager tries to throw a fight to make money. (19 min)",movie
30,TCM,"""Lilies of the Field"" (1963) Sidney Poitier, Lilia Skala. When traveling African-American handyman Homer Smith (Sidney Poitier) stops by a farm in rural Arizona, he is welcomed by a group of Roman Catholic nuns who have emigrated from Germany. Realizing that the farm needs a lot of work, Homer takes on a number of repair projects for the women, who are led by the headstrong Mother Maria (Lilia Skala). Impressed by Homer's kindness and strong work ethic, the nuns come to believe that he has been sent by God to help build them a chapel. \{7C} (1 hr 34 min)",movie
33,TCM,"(10:15) ""Illusions"" (1983) Karen Valentine, Brian Murray. An American designer (Karen Valentine) of Western wear thinks her husband's (Ben Masters) fatal plane crash is hiding something. (1 hr 40 min)",movie
35,TCM,"""The Joy Luck Club"" \{84} (1993) Rosalind Chao, Tamlyn Tomita. In San Francisco, a group of aging Chinese women (Kieu Chinh, Tsai Chin, France Nuyen, Lisa Lu) meet regularly to trade familial stories while playing Mahjong. In a series of sixteen vignettes that spans generations and continents, this adaptation of Amy Tan's bestselling novel explores cultural conflict and the often-turbulent relationships between four first-generation Chinese-American women (Ming-Na Wen, Tamlyn Tomita, Lauren Tom, Rosalind Chao) and their mothers. \{7C} (2 hr 18 min)",movie
40,TCM,"""Cabin in the Sky"" (1943) Ethel Waters, Eddie ""Rochester"" Anderson. When compulsive gambler Little Joe Jackson (Eddie ""Rochester"" Anderson) dies in a drunken fight, he awakens in purgatory, where he learns that he will be sent back to Earth for six months to prove that he deserves to be in heaven. He awakens, remembering nothing and struggles to do right by his devout wife, Petunia (Ethel Waters), while an angel known as the General (Kenneth Spencer) and the devil's son, Lucifer Jr. (Rex Ingram), fight for his soul. \{7C} (1 hr 38 min)",movie
43,TCM,"( 3:15) ""The Man With the Golden Arm"" (1955) Frank Sinatra, Eleanor Parker. When illegal card dealer and recovering heroin addict Frankie Machine (Frank Sinatra) gets out of prison, he decides to straighten up. Armed with nothing but an old drum set, Frankie tries to get honest work as a drummer. But when his former employer, small-time con man Schwiefka (Robert Strauss), and Frankie's old drug dealer, Louis (Darren McGavin), re-enter his life, Frankie finds it hard to stay clean and eventually finds himself succumbing to his old habits. \{7C} (1 hr 59 min)",movie
48,TCM,MGM Parade Show \{99},none
27,HISTOR,The Curse of Oak Island \{9B} \{91} \{7C},none
29,HISTOR,The Curse of Oak Island: Digging Deeper \{9B} \{7C},none
31,HISTOR,The Curse of Oak Island \{9B} \{7C},none
33,HISTOR,(10:03) Beyond Oak Island \{9B} \{91} \{7C},none
35,HISTOR,(11:05) The Curse of Oak Island \{9B} \{91} \{7C},none
37,HISTOR,(12:03) The Curse of Oak Island: Digging Deeper \{9B} \{91} \{7C},none
39,HISTOR,( 1:03) The Curse of Oak Island \{9B} \{91} \{7C},none
41,HISTOR,( 2:06) Beyond Oak Island \{9B} \{91} \{7C},none
43,HISTOR,( 3:06) The Curse of Oak Island \{9B} \{7C},none
45,HISTOR,Earn $$$ from Home! \{7C},none
46,HISTOR,Paid Programming \{99} \{91} \{7C},none
47,HISTOR,"Improve Your Immunity, Energy & Sleep! \{91} \{7C}",none
48,HISTOR,Get the World's Best Solar for $0 Down + 6 Months on SunPower \{91} \{7C},none
27,MSNBC,The ReidOut \{7C},none
29,MSNBC,All In With Chris Hayes \{7C},none
31,MSNBC,The Rachel Maddow Show \{7C},none
33,MSNBC,The Last Word With Lawrence O'Donnell \{7C},none
35,MSNBC,The 11th Hour With Brian Williams \{7C},none
37,MSNBC,The Rachel Maddow Show \{7C},none
39,MSNBC,The Last Word With Lawrence O'Donnell \{7C},none
41,MSNBC,The 11th Hour With Brian Williams \{7C},none
43,MSNBC,All In With Chris Hayes \{7C},none
45,MSNBC,The Rachel Maddow Show \{7C},none
47,MSNBC,Way Too Early With Kasie Hunt \{7C},none
27,FNC,The Story With Martha MacCallum \{7C},none
29,FNC,Tucker Carlson Tonight \{7C},none
31,FNC,Hannity \{7C},none
33,FNC,The Ingraham Angle \{7C},none
35,FNC,Fox News at Night With Shannon Bream \{7C},none
37,FNC,Tucker Carlson Tonight \{7C},none
39,FNC,Hannity \{7C},none
41,FNC,The Ingraham Angle \{7C},none
43,FNC,Fox News at Night With Shannon Bream \{7C},none
45,FNC,FOX & Friends First \{7C},none
47,FNC,FOX & Friends First \{7C},none
27,GOLF,2020 U.S. Women's Open Golf Championship \{99} \{7C},none|sportsProg
37,GOLF,Golf Central \{99} \{7C},none|sportsProg
38,GOLF,Golf Central \{99} \{7C},none|sportsProg
39,GOLF,GOLF Films \{9B} \{7C},none|sportsProg
41,GOLF,GOLF Films \{99} \{7C},none|sportsProg
43,GOLF,Paid Programming \{99} \{7C},none
44,GOLF,Dr. Ho's Total Body Relief \{7C},none
45,GOLF,Best Pan Ever! \{7C},none
46,GOLF,MyPillow Topper \{7C},none
47,GOLF,Mulligan - Tough Love and Second Chances \{99} \{7C},none
27,BRAVO,Chrisley Knows Best \{7C},none
28,BRAVO,Chrisley Knows Best \{7C},none
29,BRAVO,Chrisley Knows Best \{7C},none
30,BRAVO,Chrisley Knows Best \{7C},none
31,BRAVO,Chrisley Knows Best \{7C},none
32,BRAVO,Don't Be Tardy ... \{7C},none
33,BRAVO,Don't Be Tardy ... \{7C},none
35,BRAVO,Watch What Happens Live With Andy Cohen \{7C},none
36,BRAVO,The Real Housewives of Atlanta \{7C},none
38,BRAVO,(12:31) The Real Housewives of Potomac \{7C},none
40,BRAVO,( 1:32) Don't Be Tardy ... \{7C},none
42,BRAVO,( 2:32) The Real Housewives of Atlanta \{7C},none
44,BRAVO,Watch What Happens Live With Andy Cohen \{7C},none
45,BRAVO,The Kelly Clarkson Show \{99} \{91} \{7C},none
47,BRAVO,"Visibly Reduce Crow's Feet, Wrinkles, and Under-Eye Bags in Minutes! \{7C}",none
48,BRAVO,PiYo Workout! \{7C},none
27,TRUTV,Impractical Jokers \{7C},none
28,TRUTV,Impractical Jokers \{7C},none
29,TRUTV,Impractical Jokers \{7C},none
30,TRUTV,Impractical Jokers \{7C},none
31,TRUTV,Impractical Jokers \{7C},none
32,TRUTV,Impractical Jokers \{7C},none
33,TRUTV,"""Dumb & Dumber"" \{87} (1994) Jim Carrey, Jeff Daniels. Imbecilic best friends Lloyd Christmas (Jim Carrey) and Harry Dunne (Jeff Daniels) stumble across a suitcase full of money left behind in Harry's car by Mary Swanson (Lauren Holly), who was on her way to the airport. The pair decide to go to Aspen, Colo., to return the money, unaware that it is connected to a kidnapping. As Harry and Lloyd -- who has fallen in love with Mary -- are pursued across the country by hired killers and police, they find both their friendship and their brains tested. \{7C} (1 hr 46 min)",movie
37,TRUTV,"(12:15) ""Dumb & Dumber"" \{87} (1994) Jim Carrey, Jeff Daniels. Imbecilic best friends Lloyd Christmas (Jim Carrey) and Harry Dunne (Jeff Daniels) stumble across a suitcase full of money left behind in Harry's car by Mary Swanson (Lauren Holly), who was on her way to the airport. The pair decide to go to Aspen, Colo., to return the money, unaware that it is connected to a kidnapping. As Harry and Lloyd -- who has fallen in love with Mary -- are pursued across the country by hired killers and police, they find both their friendship and their brains tested. \{7C} (1 hr 46 min)",movie
42,TRUTV,The Carbonaro Effect \{7C},none
43,TRUTV,The Carbonaro Effect \{7C},none
44,TRUTV,The Carbonaro Effect \{7C},none
45,TRUTV,U-Box by U-Haul Containers for Moving & Storage \{7C},none
46,TRUTV,Emergency Power Kit! \{7C},none
47,TRUTV,New BISSELL® CrossWave® is Now Cordless \{7C},none
48,TRUTV,"Move Easier with MovingHelp, Powered by U-Haul \{7C}",none
29,QVC2,Very Merry Deals \{99} \{7C},none
31,QVC2,Very Merry Deals \{99} \{7C},none
33,QVC2,Gourmet Holiday \{99} \{7C},none
37,QVC2,Very Merry Deals \{99} \{7C},none
39,QVC2,Cheers! to Holiday Shopping With Leah and Shawn \{99} \{7C},none
45,QVC2,Very Merry Deals \{99} \{7C},none
47,QVC2,Dyson Supersonic Hair Dryer \{99} \{7C},none
29,QVC3,In the Kitchen With David \{99} \{7C},none
37,QVC3,Carolyn's Gift Guide \{99} \{7C},none
41,QVC3,The Wrap It Up Gift Event \{99} \{7C},none
45,QVC3,Comfort & Joy with Jane \{99} \{7C},none
33,MDUC1,MDU Camera Channel,none
41,MDUC1,MDU Camera Channel,none
27,CMDUCC,MDU Camera Channel,none
35,CMDUCC,MDU Camera Channel,none
43,CMDUCC,MDU Camera Channel,none
27,HGTV,Fixer to Fabulous \{99} \{7C},none
29,HGTV,Fixer to Fabulous \{99} \{7C},none
31,HGTV,Fixer to Fabulous \{99} \{7C},none
33,HGTV,House Hunters \{99} \{7C},none
34,HGTV,House Hunters International \{99} \{7C},none
35,HGTV,House Hunters \{99} \{7C},none
36,HGTV,House Hunters International \{99} \{7C},none
37,HGTV,Fixer to Fabulous \{99} \{7C},none
39,HGTV,House Hunters \{99} \{7C},none
40,HGTV,House Hunters International \{99} \{7C},none
41,HGTV,House Hunters \{99} \{7C},none
42,HGTV,House Hunters International \{99} \{7C},none
43,HGTV,Fixer to Fabulous \{99} \{7C},none
45,HGTV,Fixer to Fabulous \{99} \{7C},none
47,HGTV,Fixer to Fabulous \{99} \{7C},none
27,POPSD,House \{91} \{7C},none
29,POPSD,NCIS: New Orleans \{91} \{7C},none
31,POPSD,NCIS: New Orleans \{91} \{7C},none
33,POPSD,NCIS: New Orleans \{91} \{7C},none
35,POPSD,NCIS: New Orleans \{91} \{7C},none
37,POPSD,NCIS: New Orleans \{91} \{7C},none
39,POPSD,Charmed \{91} \{7C},none
41,POPSD,Charmed \{9B} \{91} \{7C},none
43,POPSD,Charmed \{9B} \{91} \{7C},none
45,POPSD,Charmed \{9B} \{91} \{7C},none
47,POPSD,The Goldbergs \{9B} \{91} \{7C},none
48,POPSD,The Goldbergs \{9B} \{91} \{7C},none